id,name,parent_id/id
__import__.pc_fff63152655aa7de4a26,SVESA Infrarot Massage,__import__.pc_80709f8a76f10f5712fc
__import__.pc_ccae432a0c606a407d2a,Meridianuhren,__import__.pc_a3f655edcc07f2ba5610
__import__.pc_87deb54f04fd6df572cc,Punktsuchgeräte,__import__.pc_a3f655edcc07f2ba5610
__import__.pc_5929c2755d9122b81a62,Detektoren,__import__.pc_a3f655edcc07f2ba5610
__import__.pc_a7ac13af5d145aa54f54,Sieben-Stern-Nadel,__import__.pc_a3f655edcc07f2ba5610
__import__.pc_c5923793ad19775d7541,Cunmeter,__import__.pc_a3f655edcc07f2ba5610
__import__.pc_fded90a4ce1a82dd5aef,Aderlassnadel,__import__.pc_a3f655edcc07f2ba5610
__import__.pc_e26c9f3ed1b7cd559dcb,Seirin-Nadel B-Typ,__import__.pc_0ca7fdd1e3d664044009
__import__.pc_b3e417c9a459ab411198,Seirin-Nadel J-Typ,__import__.pc_0ca7fdd1e3d664044009
__import__.pc_f1952ab701e87fb20b90,AcuTop,__import__.pc_0ca7fdd1e3d664044009
__import__.pc_24055e04a854675dbd74,Seirin-Dauernadeln,__import__.pc_0ca7fdd1e3d664044009
__import__.pc_7769cbfecb870eb89e07,Cloud Dragon,__import__.pc_0ca7fdd1e3d664044009
__import__.pc_ce21a48b356816fa59c3,HWATO,__import__.pc_0ca7fdd1e3d664044009
__import__.pc_6285da0d6fab0ac2f814,Asia-med,__import__.pc_0ca7fdd1e3d664044009
__import__.pc_e37dd832bb190b794441,ASP-Dauernadel,__import__.pc_0ca7fdd1e3d664044009
__import__.pc_8f571d85cdbc76d2c160,Seirin-Nadel L-Typ,__import__.pc_0ca7fdd1e3d664044009
__import__.pc_4418ec7d62bd128595f0,ACP Elektroakupunkturgerät,__import__.pc_e9678b2bd9bbe3fc625c
__import__.pc_5e78af3f0b219daa78bb,EAV Mess- und Therapiegeräte,__import__.pc_e9678b2bd9bbe3fc625c
__import__.pc_99378a2a2334c64dbedc,EAV Bioresonanzgeräte,__import__.pc_e9678b2bd9bbe3fc625c
__import__.pc_4bce7a3fbfdeef7cd5af,EAV Gerätezubehör,__import__.pc_e9678b2bd9bbe3fc625c
__import__.pc_18ba93691ad375f9c583,SVESA Punktselektor,__import__.pc_e9678b2bd9bbe3fc625c
__import__.pc_722d27bd0fe8bd80c5ac,SVESA Grand Mover -nicht alktiv!,__import__.pc_cf39cf93311e89bc2765
__import__.pc_5e478d933d14526c09c7,Laserakupunkturgeräte,__import__.pc_cf39cf93311e89bc2765
__import__.pc_3137256ae980f85ff498,TINNImed 2,__import__.pc_cf39cf93311e89bc2765
__import__.pc_6e57e935594c55429ce6,Laserneedle,__import__.pc_cf39cf93311e89bc2765
__import__.pc_d44a87a4b1f3597de1b3,Eigenblut*,__import__.pc_11a7ef9fc238dc1154ec
__import__.pc_49e9175799de614fdc60,Moxatherapie*,__import__.pc_11a7ef9fc238dc1154ec
__import__.pc_fb0b1458987e94dc852e,Reflexzonentherapie*,__import__.pc_11a7ef9fc238dc1154ec
__import__.pc_4f9e07b1437dc703a41d,HerbaChaud Wärmepflaster,__import__.pc_4d2354c07abe8907d985
__import__.pc_ea725d1339830825a046,Rotlicht & Infrarotstrahler,__import__.pc_4d2354c07abe8907d985
__import__.pc_1b5fd54de4bf65cdc5c1,Kirschkernkissen,__import__.pc_4d2354c07abe8907d985
__import__.pc_1919814323c9813fd61c,Fußwärmer-Heizdecken,__import__.pc_4d2354c07abe8907d985
__import__.pc_4d9e99abaaa4e13df22f,Moor,__import__.pc_4d2354c07abe8907d985
__import__.pc_8d06f8b61ba1cac37cc0,TDP - Lampen,__import__.pc_4d2354c07abe8907d985
__import__.pc_aef6758a75df465343df,Laserneedle,__import__.pc_4d2354c07abe8907d985
__import__.pc_4b4722b15e5c98ec5764,Calopad,__import__.pc_4d2354c07abe8907d985
__import__.pc_4f57ac726b2adc54d3f6,Swinging Dumbell,__import__.pc_e3d1ec5ca474ceeeed32
__import__.pc_fa9c584deae4f5935ef7,Therapiekreisel,__import__.pc_e3d1ec5ca474ceeeed32
__import__.pc_03607b564cd117035f27,Balanxe Pad,__import__.pc_e3d1ec5ca474ceeeed32
__import__.pc_8394f50efb7d84276f30,Hanteln,__import__.pc_e3d1ec5ca474ceeeed32
__import__.pc_5d5ca896e73c9992e338,Handtrainer,__import__.pc_e3d1ec5ca474ceeeed32
__import__.pc_a85689c4a723d69e8cc5,Bodytrainer,__import__.pc_e3d1ec5ca474ceeeed32
__import__.pc_c8a4bba0ba247bb8156f,Igelbälle,__import__.pc_e3d1ec5ca474ceeeed32
__import__.pc_2d9bc0a93afdd030246f,Kettlebells,__import__.pc_e3d1ec5ca474ceeeed32
__import__.pc_cfb86326f79264f1b68b,Trainingsgeräte,__import__.pc_e3d1ec5ca474ceeeed32
__import__.pc_b2f2b42277141c5c1238,Massageöle und Massagelotionen,__import__.pc_95ccdc37b8db16d45058
__import__.pc_d7b04f49953ff427b6c8,methacell BioEnergy Creme / Lotion,__import__.pc_95ccdc37b8db16d45058
__import__.pc_5aa8c7bd141833fd3bf9,Weitere Cremen / Lotionen / Öle,__import__.pc_95ccdc37b8db16d45058
__import__.pc_20c3160afa4f5d84fddb,mse MithoSkin Konzept,__import__.pc_95ccdc37b8db16d45058
